PitchId,GamePk,PitcherHand,PitchCall,PitchType,BatterId,PitcherId,BatterSide,Inning,IsTop,Balls,Strikes,Outs,PostBalls,PostStrikes,PostOuts,PitchNumber,AtBatNumber,AwayTeamID,VenueID,HomeTeamID,StrikeZoneTop,StrikeZoneBottom,ReleaseExtension,ReleaseAngle,ReleaseSpinAxis,ReleasePositionX,ReleasePositionY,ReleasePositionZ,ReleaseSpeed,ReleaseDirection,ReleaseSpinRate,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,TrajectoryZoneSpeed,TrajectoryVerticalApproachAngle,TrajectoryPfxHorz,TrajectoryPfxVert,TrajectoryEffectiveVelocity,TrajectoryHorizontalApproachAngle,TrajectoryVerticalBreak,TrajectoryLocationX,TrajectoryLocationY,TrajectoryLocationZ,SpinVectorX,SpinVectorY,SpinVectorZ,SpinFitError,TrajectoryZoneTime,TrajectoryPolynomialX0,TrajectoryPolynomialX1,TrajectoryPolynomialX2,TrajectoryPolynomialY0,TrajectoryPolynomialY1,TrajectoryPolynomialY2,TrajectoryPolynomialZ0,TrajectoryPolynomialZ1,TrajectoryPolynomialZ2,TrajectoryX0,TrajectoryX1,TrajectoryX2,TrajectoryV0,TrajectoryV1,TrajectoryV2,TrajectoryA0,TrajectoryA1,TrajectoryA2
514,1,L,called_strike,SL,21,11,R,2,1,0,0,2,0,1,2,1,15,1,1,2,3.309999943,1.629999995,6.516056061,-0.638043046,131.2425079,2.212046385,53.98394775,5.407345295,89.89929866,1.153029799,2312.782715,0.228135198,0.500794649,82.37854767,-5.981449604,-0.103869386,0.285044312,89.29314423,1.666855216,-2.38171339,0.925917208,1.416666627,2.440250397,-672.5662842,2075.608398,767.1172485,0.13574107,0.423299164,2.215079069,-2.595691681,-1.062648654,54.13453293,-128.9664001,10.45756149,5.409040451,-1.436513782,-13.17494488,2.130662441,50.00548935,5.349352837,-2.664004564,-128.2941284,-2.283472538,-2.125297308,20.91512299,-26.34988976
54,1,R,swinging_strike,FF,29,13,L,8,0,1,0,0,1,1,0,2,64,1,1,2,3.470000029,1.590000033,6.634623051,-0.759159267,198.0059052,-2.678563118,53.86537933,5.467558384,95.55913521,-3.096229315,2432.518066,-0.114750206,1.167261124,86.61690521,-3.920152426,-0.001370792,0.655117631,94.80960083,-3.355453014,-1.40060842,0.273264587,1.416666627,3.372006416,-2078.826904,-1067.271362,-675.6887207,0.222995788,0.399529278,-2.693123817,7.431254387,-0.016384495,54.13451385,-137.3816071,13.5887394,5.471163273,-1.823050618,-8.587667465,-2.469086409,50.00481033,5.408391953,7.430265427,-136.5612488,-2.341491938,-0.032768991,27.17747879,-17.17533493
12,1,L,foul,FF,18,11,R,2,1,2,1,0,2,2,0,4,10,1,1,2,3.299999952,1.5,6.468152046,-2.327741623,137.0179596,1.653214097,54.03184891,5.872692585,92.74131011,3.164425373,2501.495361,-0.653392971,1.16105938,84.93479919,-5.743499756,0.422853231,0.685296655,92.54252625,1.686153173,-1.517760277,-0.602303445,1.416666627,2.216159105,-1620.824097,1161.385742,1510.493652,0.180267677,0.408069253,1.65886116,-7.435203552,4.641550541,54.1340332,-134.4865265,12.98151588,5.876857758,-5.47510767,-8.566367149,1.43426013,50.00416183,5.700098038,-7.148994923,-133.6860504,-6.003329277,9.283101082,25.96303177,-17.1327343
280,1,R,called_strike,CU,17,1,R,2,0,0,1,0,0,2,0,2,16,1,1,2,3.359999895,1.590000033,6.073988438,1.57444346,57.98320389,-3.320479631,54.42601395,5.76086092,77.14960133,-2.110340595,2776.234375,-1.112193942,-0.594522476,70.20568848,-8.727676392,0.564574778,-0.359363526,75.2881546,-4.623957634,-4.584267616,-0.25497508,1.416666627,2.633749008,1168.265991,-1688.704468,1868.397339,0.137442365,0.498006165,-3.309743404,4.063259602,4.158055782,54.13380051,-110.2676697,8.858371735,5.76902771,3.032889605,-18.73180199,-3.15108633,50.0002594,5.856582165,4.375965118,-109.6014786,1.624169588,8.316111565,17.71674347,-37.46360397
206,1,R,single,SL,17,1,R,2,0,0,2,0,0,2,0,3,16,1,1,2,3.470000029,1.590000033,6.029607773,-0.82324934,178.3832855,-3.376285553,54.47039413,5.5402565,85.30830809,-3.879490614,2151.102295,-0.347913772,0.612843156,79.1824646,-6.452267647,0.115339585,0.351827323,84.98873138,-4.661331177,-2.513060808,0.569398224,1.416666627,2.264924288,-666.0026245,-2045.318604,18.79759216,0.221823975,0.440808475,-3.353535652,8.420855522,1.085620284,54.13472366,-124.1765976,10.38977242,5.535516739,-1.78844142,-12.77445793,-3.071492672,50.00498962,5.4616642,8.493354797,-123.4827576,-2.641530275,2.171240568,20.77954483,-25.54891586
504,1,R,blocked_ball,CU,7,1,R,2,0,0,0,0,1,0,0,1,17,1,1,2,3.769999981,1.850000024,6.587638378,-1.167842031,60.64636993,-3.116046906,53.91236496,5.695101261,78.61931774,-4.069544315,2677.751709,-0.924206555,-0.567785382,71.96047974,-11.03756523,0.422410727,-0.285355181,77.06747437,-6.146611691,-4.447328091,1.543055773,1.416666627,0.177700311,981.4923096,-1778.036011,1745.169067,0.131291091,0.491080165,-3.131824017,7.947533131,3.201213121,54.13390732,-111.7063904,8.870629311,5.699701786,-2.282948256,-18.24886322,-2.832564354,50.00180817,5.589886189,8.185167313,-111.047905,-3.637608051,6.402426243,17.74125862,-36.49772644
547,1,R,pickoff_attempt_1b,NULL,7,1,R,2,0,1,0,0,1,0,0,1,17,1,1,2,3.359999895,1.700000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,1,R,ball,FF,17,13,R,8,0,1,1,1,2,1,1,3,65,1,1,2,3.359999895,1.639999986,6.968746185,-2.608451843,200.2233734,-2.62549305,53.53125381,5.385236263,94.83730845,-3.740241528,2466.794189,0.234173894,1.156421542,88.40893555,-5.617245197,-0.194588229,0.680398881,96.58345032,-3.214430094,-1.348787427,0.547260821,1.416666627,1.66242826,-1903.167725,-1404.09021,-701.1107788,0.155275464,0.394624561,-2.664847136,9.043456078,-2.290279627,54.13368988,-138.3374939,12.03289986,5.412903786,-6.315769672,-8.078915596,-2.396049976,50.00127411,5.216499805,8.906226158,-137.6165009,-6.799846649,-4.580559254,24.06579971,-16.15783119
398,1,R,foul,FF,17,13,R,8,0,2,1,1,2,2,1,4,65,1,1,2,3.470000029,1.590000033,6.651763916,-1.278247118,200.139328,-2.588320732,53.84823608,5.444124699,94.84027238,-2.839935303,2418.746826,0.03481321,1.150520921,87.978508,-4.333320141,-0.071756981,0.652765632,95.9155426,-2.761460781,-1.360168576,-0.022213005,1.416666627,2.914098978,-2031.743164,-1080.365723,-745.0941162,0.175100654,0.395055979,-2.602527857,6.864169121,-0.842038572,54.13464737,-138.3713989,12.4725771,5.45056057,-3.091322184,-8.427134514,-2.397701263,50.00161362,5.350416183,6.813711166,-137.6239929,-3.596305132,-1.684077144,24.94515419,-16.85426903
186,1,R,ball,SL,7,1,R,2,0,1,2,0,2,2,0,4,17,1,1,2,3.75999999,1.779999971,6.166337013,-2.364228725,210.6390533,-3.440974236,54.33366394,5.310740948,86.35689902,-4.740466118,2103.915039,-0.292369068,0.702953637,80.32726288,-7.624215603,0.073810756,0.430584669,85.91082764,-5.394667625,-2.371236801,1.239683151,1.416666627,0.754675627,-601.1199951,-1984.524536,-356.054718,0.182990968,0.437147021,-3.424361229,10.36020184,0.70703721,54.13328171,-124.9330215,9.926438332,5.302471161,-5.175816536,-11.95830727,-3.080143452,50.00266266,5.117751598,10.40710831,-124.2744751,-5.969164371,1.414074421,19.85287666,-23.91661453
306,1,R,single,CH,7,1,R,2,0,2,2,0,2,2,0,5,17,1,1,2,3.549999952,1.629999995,6.315116405,-0.971213698,242.6042023,-3.338411808,54.18488693,5.49536562,85.18562708,-4.915783405,1364,0.883954108,0.410470486,79.56517029,-7.014757156,-0.566307664,0.242007941,85.54603577,-2.936115265,-2.706861258,0.316285133,1.416666627,1.893915772,-621.303772,-193.0822754,-1198.831421,0.194403812,0.440203667,-3.333957911,10.65165615,-5.35999012,54.13311005,-123.845314,9.285998344,5.494486809,-2.10723877,-13.7938242,-2.98365736,50.00087357,5.408565998,10.29299736,-123.2239532,-3.030241489,-10.71998024,18.57199669,-27.58764839
2,1,R,field_out,FF,33,1,R,3,0,3,2,0,3,2,1,8,26,1,1,2,3.369999886,1.529999971,6.301705837,-1.216400266,224.2934723,-3.43773222,54.19829559,5.457740784,94.21258889,-4.30445528,2358.224365,0.588438094,1.139654636,86.7306366,-4.468437672,-0.39925459,0.645709813,93.82827759,-2.982946396,-1.450452447,-0.053359669,1.416666627,2.886550665,-1550.853027,-930.967041,-1513.06897,0.101437345,0.401255488,-3.43289113,10.24533463,-4.543095589,54.13398743,-136.1170349,11.80143547,5.456373215,-2.898400068,-8.737710953,-3.125133038,50.00016403,5.360015392,9.968648911,-135.3983002,-3.430548191,-9.086191177,23.60287094,-17.47542191
203,1,R,foul,FF,20,1,L,5,0,2,1,0,2,2,0,4,42,1,1,2,3.49000001,1.600000024,6.1298666,-0.805699408,220.1295624,-3.402652264,54.37013626,5.446628571,94.98900633,-4.707762241,2438.811768,0.785111785,1.136278987,86.36521149,-4.09916687,-0.517792642,0.637359798,93.33348846,-2.94250679,-1.465102911,0.172997713,1.416666627,3.236862183,-1626.5448,-1192.562256,-1371.112671,0.175539941,0.402127892,-3.383259058,11.20143032,-5.86339283,54.13481903,-136.019989,12.23719406,5.443335056,-1.919329047,-8.871962547,-3.047611952,50.00435638,5.376665115,10.84397221,-135.2739563,-2.460203171,-11.72678566,24.47438812,-17.74392509
338,1,R,foul,FC,30,1,L,2,0,2,0,0,2,1,0,3,18,1,1,2,3.579999924,1.679999948,6.101465225,0.488420963,211.7024689,-3.457624674,54.39853668,5.408377647,90.68122358,-4.182285786,2495.916504,-0.12389119,0.76242429,83.75829315,-4.028122902,-0.014098433,0.406314075,90.44564056,-4.46073103,-2.004891634,0.540514231,1.416666627,3.855193377,-1178.283081,-2076.431152,-727.7927246,0.179332152,0.414754868,-3.438336134,9.655723572,-0.150610402,54.13471985,-132.0448608,11.90367603,5.41067934,1.128656268,-11.76364708,-3.135294914,50.00024796,5.434520721,9.64626503,-131.2972565,0.389854461,-0.301220804,23.80735207,-23.52729416
