"","Pitcher","TaggedPitchType","RelSpeed","is_fastball"
"148","Watson, Alex","Slider",76.93477,"no"
"149","Watson, Alex","Slider",77.17756,"no"
"150","Watson, Alex","Slider",76.7126,"no"
"151","Watson, Alex","Slider",77.84315,"no"
"152","Watson, Alex","Slider",75.52647,"no"
"153","Watson, Alex","Fastball",89.22543,"yes"
"154","Watson, Alex","Slider",76.41504,"no"
"155","Watson, Alex","Slider",77.30268,"no"
"156","Watson, Alex","Slider",77.20716,"no"
"157","Watson, Alex","Slider",77.49582,"no"
"158","Watson, Alex","Slider",76.65215,"no"
"159","Watson, Alex","Fastball",88.69708,"yes"
"160","Watson, Alex","Fastball",87.5405,"yes"
"161","Watson, Alex","Slider",77.96539,"no"
"162","Watson, Alex","Slider",76.88651,"no"
"163","Watson, Alex","Slider",75.91012,"no"
"164","Watson, Alex","Slider",76.477,"no"
"165","Watson, Alex","Slider",76.73894,"no"
"166","Watson, Alex","Slider",76.61704,"no"
"167","Jones, Tory","ChangeUp",83.92554,"no"
"168","Jones, Tory","Fastball",92.29826,"yes"
"169","Jones, Tory","Slider",81.12215,"no"
"170","Jones, Tory","Slider",83.03285,"no"
"171","Jones, Tory","Fastball",91.69855,"yes"
"172","Jones, Tory","Slider",81.96363,"no"
"173","Jones, Tory","Slider",81.58163,"no"
"174","Jones, Tory","Fastball",91.19477,"yes"
"175","Nichols, Jimmy","ChangeUp",86.45514,"no"
"176","Nichols, Jimmy","Slider",75.6857,"no"
"177","Nichols, Jimmy","Fastball",88.67645,"yes"
"178","Nichols, Jimmy","Slider",79.5869,"no"
"179","Nichols, Jimmy","Fastball",90.65868,"yes"
"180","Nichols, Jimmy","Fastball",91.00031,"yes"
"181","Nichols, Jimmy","Fastball",91.57077,"yes"
"182","Nichols, Jimmy","Fastball",91.83559,"yes"
"183","Nichols, Jimmy","Slider",77.46047,"no"
"184","Nichols, Jimmy","Fastball",91.12043,"yes"
"185","Nichols, Jimmy","ChangeUp",79.80111,"no"
"186","Nichols, Jimmy","Slider",77.04474,"no"
"187","Nichols, Jimmy","Slider",77.64178,"no"
"188","Nichols, Jimmy","Fastball",91.20473,"yes"
"189","Nichols, Jimmy","Fastball",91.44767,"yes"
"190","Nichols, Jimmy","Fastball",93.35878,"yes"
"191","Nichols, Jimmy","Slider",77.30268,"no"
"192","Nichols, Jimmy","Slider",78.35505,"no"
"193","De Los Santos, Dave","Fastball",90.35763,"yes"
"194","De Los Santos, Dave","Fastball",89.77103,"yes"
"195","De Los Santos, Dave","ChangeUp",84.89012,"no"
"196","De Los Santos, Dave","ChangeUp",83.64096,"no"
"197","De Los Santos, Dave","Slider",79.85388,"no"
"198","De Los Santos, Dave","Fastball",90.5001,"yes"
"199","De Los Santos, Dave","Slider",82.01531,"no"
"200","Jones, Tory","Slider",80.79563,"no"
"201","Jones, Tory","Slider",81.51641,"no"
"202","Jones, Tory","Slider",79.55553,"no"
"203","Jones, Tory","Slider",79.71948,"no"
"204","Jones, Tory","ChangeUp",83.66416,"no"
"205","Jones, Tory","Fastball",89.45776,"yes"
"206","Jones, Tory","Fastball",90.70932,"yes"
"207","Jones, Tory","Slider",82.05899,"no"
"208","Jones, Tory","Fastball",90.15104,"yes"
"209","Jones, Tory","ChangeUp",84.03176,"no"
"210","Manning, Corey","Fastball",89.86882,"yes"
"211","Manning, Corey","Fastball",90.34434,"yes"
"212","Manning, Corey","Slider",76.70312,"no"
"213","Manning, Corey","Fastball",89.74683,"yes"
"214","Manning, Corey","Fastball",88.94962,"yes"
"215","Manning, Corey","Slider",74.41867,"no"
"216","Manning, Corey","Fastball",90.95183,"yes"
"217","Manning, Corey","Fastball",90.93155,"yes"
"218","Manning, Corey","ChangeUp",80.71761,"no"
"219","Alton, Jared","Fastball",89.24376,"yes"
"220","Alton, Jared","ChangeUp",82.02884,"no"
"221","Alton, Jared","ChangeUp",82.27229,"no"
"222","Alton, Jared","Curveball",81.99294,"no"
"223","Alton, Jared","ChangeUp",83.81544,"no"
"224","Alton, Jared","Fastball",88.11658,"yes"
"225","Alton, Jared","ChangeUp",81.47078,"no"
"226","Alton, Jared","Fastball",88.44474,"yes"
"227","Alton, Jared","Fastball",89.41029,"yes"
"228","Alton, Jared","Fastball",89.4078,"yes"
"229","Alton, Jared","Fastball",87.99704,"yes"
"230","Alton, Jared","Curveball",82.26082,"no"
"231","Alton, Jared","Fastball",88.2733,"yes"
"232","Alton, Jared","Fastball",88.25581,"yes"
"233","Alton, Jared","Fastball",88.08726,"yes"
"234","Alton, Jared","ChangeUp",83.00014,"no"
"235","Alton, Jared","ChangeUp",82.61577,"no"
"236","Alton, Jared","Fastball",88.74196,"yes"
"237","Alton, Jared","ChangeUp",81.42237,"no"
"238","Alton, Jared","ChangeUp",83.66216,"no"
"239","Alton, Jared","ChangeUp",81.15582,"no"
"240","Jones, Tory","ChangeUp",81.81531,"no"
"241","Jones, Tory","Fastball",89.52071,"yes"
"242","Jones, Tory","Fastball",89.09004,"yes"
"243","Jones, Tory","Fastball",90.33028,"yes"
"244","Jones, Tory","Fastball",88.94015,"yes"
"245","Jones, Tory","Fastball",90.52066,"yes"
"246","Jones, Tory","ChangeUp",80.38939,"no"
"247","Jones, Tory","Fastball",89.6791,"yes"
"248","Jones, Tory","Fastball",89.10861,"yes"
"249","Jones, Tory","Fastball",88.98417,"yes"
"250","Jones, Tory","Slider",78.66111,"no"
"251","Jones, Tory","ChangeUp",80.87093,"no"
"252","Jones, Tory","Slider",79.63383,"no"
"253","Jones, Tory","ChangeUp",80.95597,"no"
"254","Jones, Tory","Slider",78.37542,"no"
"255","Jones, Tory","Slider",80.33624,"no"
"256","Jones, Tory","Slider",77.74831,"no"
"257","Jones, Tory","Fastball",89.58703,"yes"
"258","Jones, Tory","Slider",79.41499,"no"
"259","Manning, Corey","Slider",83.36446,"no"
"260","Manning, Corey","Slider",80.35907,"no"
"261","Manning, Corey","Fastball",93.4974,"yes"
"262","Manning, Corey","Fastball",93.41795,"yes"
"263","Manning, Corey","Slider",82.96949,"no"
"264","Manning, Corey","Slider",82.66867,"no"
"265","Manning, Corey","Fastball",93.10147,"yes"
"266","Manning, Corey","Fastball",94.70165,"yes"
"267","Manning, Corey","Fastball",93.14736,"yes"
"268","Manning, Corey","Slider",84.27777,"no"
"269","Manning, Corey","Slider",82.36102,"no"
"270","Manning, Corey","Fastball",92.64667,"yes"
"271","Jones, Tory","Fastball",89.68391,"yes"
"272","Jones, Tory","Slider",79.31203,"no"
"273","Jones, Tory","Slider",80.11737,"no"
"274","Jones, Tory","Fastball",91.05319,"yes"
"275","Jones, Tory","ChangeUp",84.08132,"no"
"276","Jones, Tory","Slider",78.33967,"no"
"277","Jones, Tory","Slider",79.70895,"no"
"278","Jones, Tory","Slider",77.32537,"no"
"279","Jones, Tory","Slider",78.14535,"no"
"280","Jones, Tory","Slider",76.81404,"no"
"281","Jones, Tory","Slider",76.91008,"no"
"282","Jones, Tory","Slider",78.39061,"no"
"283","Jones, Tory","Slider",78.09083,"no"
"284","Jones, Tory","Fastball",90.21034,"yes"
"285","Jones, Tory","Fastball",90.96975,"yes"
"286","Jones, Tory","Slider",77.53675,"no"
"287","Jones, Tory","Slider",77.86086,"no"
"288","Jones, Tory","Slider",78.00104,"no"
"289","Jones, Tory","Slider",78.95678,"no"
"290","Jones, Tory","Slider",77.23614,"no"
"291","Bonds, Anthony","Fastball",95.76773,"yes"
"292","Bonds, Anthony","Fastball",95.74609,"yes"
"293","Bonds, Anthony","Slider",83.16979,"no"
"294","Bonds, Anthony","Slider",85.89654,"no"
"295","Bonds, Anthony","Fastball",95.15023,"yes"
"296","Bonds, Anthony","Fastball",94.91712,"yes"
"297","Bonds, Anthony","Fastball",94.9492,"yes"
"298","Bonds, Anthony","ChangeUp",88.25336,"no"
"299","Bonds, Anthony","ChangeUp",89.37584,"no"
"300","Bonds, Anthony","Fastball",95.52868,"yes"
"301","Bonds, Anthony","Fastball",95.65023,"yes"
"302","Bonds, Anthony","Slider",83.632,"no"
"303","Bonds, Anthony","Fastball",94.33255,"yes"
"304","Saunders, Colson","Slider",75.66473,"no"
"305","Saunders, Colson","Slider",74.97101,"no"
"306","Saunders, Colson","Slider",77.28165,"no"
"307","Saunders, Colson","ChangeUp",79.67791,"no"
"308","Saunders, Colson","Slider",77.18028,"no"
"309","Saunders, Colson","ChangeUp",80.66749,"no"
"310","Saunders, Colson","Fastball",85.75373,"yes"
"311","Saunders, Colson","Slider",76.53341,"no"
"312","Saunders, Colson","Slider",78.62463,"no"
"313","Saunders, Colson","Fastball",87.97054,"yes"
"314","Saunders, Colson","Fastball",87.61394,"yes"
"315","Saunders, Colson","ChangeUp",80.4896,"no"
"316","Saunders, Colson","ChangeUp",80.9145,"no"
"317","Saunders, Colson","Slider",76.87274,"no"
"318","Saunders, Colson","Slider",75.56379,"no"
"319","Saunders, Colson","Fastball",88.04252,"yes"
"320","Birton, Manny","Fastball",89.53273,"yes"
"321","Birton, Manny","Slider",76.67478,"no"
"322","Birton, Manny","Slider",75.40434,"no"
"323","Birton, Manny","Slider",78.64974,"no"
"324","Birton, Manny","Fastball",90.83749,"yes"
"325","Birton, Manny","Slider",78.10678,"no"
"326","Birton, Manny","ChangeUp",86.18747,"no"
"327","Birton, Manny","ChangeUp",84.22334,"no"
"328","Birton, Manny","Fastball",89.22492,"yes"
"329","Birton, Manny","Slider",78.87267,"no"
"330","Murphy, Mark","Slider",80.47277,"no"
"331","Murphy, Mark","Fastball",90.76257,"yes"
"332","Murphy, Mark","Sinker",80.16327,"yes"
"333","Murphy, Mark","Fastball",91.11451,"yes"
"334","Murphy, Mark","Fastball",88.44406,"yes"
"335","Murphy, Mark","Slider",77.5892,"no"
"336","Murphy, Mark","Slider",78.97478,"no"
"337","Murphy, Mark","Fastball",90.48376,"yes"
"338","Murphy, Mark","Slider",80.81892,"no"
"339","Murphy, Mark","Fastball",90.53611,"yes"
"340","Murphy, Mark","Fastball",89.6992,"yes"
"341","Murphy, Mark","Slider",79.36535,"no"
"342","Murphy, Mark","Fastball",91.33991,"yes"
"343","Murphy, Mark","Fastball",90.71995,"yes"
"344","Murphy, Mark","ChangeUp",86.20909,"no"
"345","Murphy, Mark","Slider",79.51213,"no"
"346","Murphy, Mark","Fastball",90.06683,"yes"
"347","Murphy, Mark","Fastball",88.98728,"yes"
"348","Murphy, Mark","Slider",80.01622,"no"
"349","Murphy, Mark","Slider",81.95519,"no"
"350","Murphy, Mark","ChangeUp",86.18832,"no"
"351","Murphy, Mark","Slider",81.01877,"no"
"352","Murphy, Mark","Slider",81.34808,"no"
"353","Murphy, Mark","Slider",79.93559,"no"
"354","Murphy, Mark","Slider",80.33712,"no"
"355","Murphy, Mark","Fastball",90.43203,"yes"
"356","Thompson, Clark","Fastball",93.55569,"yes"
"357","Thompson, Clark","Fastball",92.56211,"yes"
"358","Thompson, Clark","Fastball",92.33363,"yes"
"359","Thompson, Clark","Fastball",92.07405,"yes"
"360","Thompson, Clark","Fastball",91.77458,"yes"
"361","Thompson, Clark","Slider",81.65322,"no"
"362","Thompson, Clark","Slider",81.70389,"no"
"363","Thompson, Clark","Fastball",92.91795,"yes"
"364","Thompson, Clark","Fastball",93.54883,"yes"
"365","Thompson, Clark","Fastball",93.91782,"yes"
"366","Loop, Ned","Fastball",92.95902,"yes"
"367","Loop, Ned","Fastball",92.96385,"yes"
"368","George, Ryan","Fastball",82.08443,"yes"
"369","Loop, Ned","Fastball",83.17284,"yes"
"370","Loop, Ned","Fastball",82.54341,"yes"
"371","Loop, Ned","Fastball",82.3685,"yes"
"372","George, Ryan","Fastball",82.74762,"yes"
"373","George, Ryan","Fastball",83.43188,"yes"
"374","George, Ryan","ChangeUp",75.76262,"no"
"375","George, Ryan","ChangeUp",77.37964,"no"
"376","George, Ryan","Slider",82.74909,"no"
"377","George, Ryan","ChangeUp",77.10552,"no"
"378","George, Ryan","Slider",69.63991,"no"
"379","George, Ryan","Fastball",82.44696,"yes"
